event,reason,step,position,entry_price,exit_price,realized_pips,cost_pips,net_pips,equity_usd,time_in_trade
CLOSE,SL_HIT,2957,-1,1.0743934082314197,1.0833934082314196,-89.99999999999896,1.0,-90.99999999999896,12877.589703531525,254
CLOSE,SL_HIT,2980,-1,1.0844612749775202,1.08746127497752,-29.999999999998916,1.0,-30.999999999998916,12567.589703531536,22
CLOSE,SL_HIT,3082,-1,1.086416252606733,1.098416252606733,-120.0000000000001,1.0,-121.0000000000001,11357.589703531536,101
CLOSE,TP_HIT,3119,-1,1.0984551795157194,1.0894551795157195,89.99999999999896,1.0,88.99999999999896,12247.589703531525,36
CLOSE,SL_HIT,3391,-1,1.0868458050634262,1.0988458050634262,-120.0000000000001,1.0,-121.0000000000001,11037.589703531525,271
CLOSE,SL_HIT,3402,-1,1.098988667657824,1.1019886676578239,-29.999999999998916,1.0,-30.999999999998916,10727.589703531536,10
CLOSE,SL_HIT,3436,-1,1.1018679612175926,1.1048679612175925,-29.999999999998916,1.0,-30.999999999998916,10417.589703531547,33
CLOSE,SL_HIT,3437,-1,1.105781778704978,1.1087817787049778,-29.999999999998916,1.0,-30.999999999998916,10107.589703531557,0
CLOSE,SL_HIT,3440,-1,1.10976408767589,1.11276408767589,-29.999999999998916,1.0,-30.999999999998916,9797.589703531568,2
CLOSE,SL_HIT,3456,-1,1.113185465487193,1.116185465487193,-29.999999999998916,1.0,-30.999999999998916,9487.58970353158,15
CLOSE,SL_HIT,3461,-1,1.1160656590042337,1.1190656590042336,-29.999999999998916,1.0,-30.999999999998916,9177.58970353159,4
CLOSE,SL_HIT,3467,-1,1.1194051370539144,1.1224051370539143,-29.999999999998916,1.0,-30.999999999998916,8867.589703531601,5
